id,layer,source_path,line,english,proposed_ja,status,reviewer,notes
1,frontend,app/frontend/src/components/Disclaimer.tsx,29,This software is a technology demonstrator and is not intended for continuous or production use.,本ソフトウェアは技術デモンストレーターであり、継続利用や本番運用を想定していません。,approved,PR-2.1,PR-2.1: common components translated
2,frontend,app/frontend/src/components/Disclaimer.tsx,31,High-autonomy agent.,高自律エージェント。,approved,PR-2.1,PR-2.1: common components translated
3,frontend,app/frontend/src/components/Disclaimer.tsx,31,"This system deploys an AI agent with high autonomy and elevated authorization levels. It can execute code, create and delete cloud resources, send messages, access APIs, push code, and make consequential decisions on your behalf &mdash; without further confirmation.",本システムは高い自律性と昇格された権限レベルで AI エージェントを展開します。事前確認なしに、コード実行・クラウドリソースの作成と削除・メッセージ送信・API アクセス・コードプッシュなど、重大な意思決定をユーザーに代わって行えます。,approved,PR-2.1,PR-2.1: common components translated
4,frontend,app/frontend/src/components/Disclaimer.tsx,32,Sandbox environments only.,サンドボックス環境専用。,approved,PR-2.1,PR-2.1: common components translated
5,frontend,app/frontend/src/components/Disclaimer.tsx,32,Only run against sandbox Azure subscriptions and disposable GitHub accounts.,サンドボックス用 Azure サブスクリプションと使い捨て GitHub アカウントに対してのみ実行してください。,approved,PR-2.1,PR-2.1: common components translated
6,frontend,app/frontend/src/components/Disclaimer.tsx,33,Potential for damage.,損害発生の可能性。,approved,PR-2.1,PR-2.1: common components translated
7,frontend,app/frontend/src/components/Disclaimer.tsx,33,"The agent may take destructive or irreversible actions including deleting resources, sending unintended messages, pushing code, incurring cloud costs, exhausting API quotas, or exposing credentials.",エージェントはリソースの削除、意図しないメッセージ送信、コードプッシュ、クラウド費用の発生、API クォータの枯渇、認証情報の漏洩など、破壊的または取り消し不可能な操作を行う可能性があります。,approved,PR-2.1,PR-2.1: common components translated
8,frontend,app/frontend/src/components/Disclaimer.tsx,34,No warranty.,無保証。,approved,PR-2.1,PR-2.1: common components translated
9,frontend,app/frontend/src/components/Disclaimer.tsx,34,"Provided under the MIT License, &quot;as is&quot;, without warranty of any kind.",MIT ライセンスの下で「現状有姿」で提供され、いかなる保証もありません。,approved,PR-2.1,PR-2.1: common components translated
10,frontend,app/frontend/src/components/Disclaimer.tsx,40,I acknowledge the risks and accept full responsibility,リスクを認識し、本ソフトウェアの使用と影響について全責任を負うことに同意します,approved,PR-2.1,PR-2.1: common components translated
11,frontend,app/frontend/src/components/LoginOverlay.tsx,18,polyclaw,polyclaw,approved,PR-2.1,PR-2.1: common components translated
12,frontend,app/frontend/src/components/LoginOverlay.tsx,19,Enter your admin secret to continue,続行するには管理者シークレットを入力してください,approved,PR-2.1,PR-2.1: common components translated
13,frontend,app/frontend/src/components/LoginOverlay.tsx,25,Admin secret,管理者シークレット,approved,PR-2.1,PR-2.1: common components translated
14,frontend,app/frontend/src/components/SessionsPanel.tsx,30,Recent Sessions,最近のセッション,approved,PR-2.1,PR-2.1: common components translated
15,frontend,app/frontend/src/components/SessionsPanel.tsx,34,New chat,新規チャット,approved,PR-2.1,PR-2.1: common components translated
16,frontend,app/frontend/src/components/SessionsPanel.tsx,41,No sessions yet,セッションはまだありません,approved,PR-2.1,PR-2.1: common components translated
17,frontend,app/frontend/src/components/SessionsPanel.tsx,67,All Sessions,すべてのセッション,approved,PR-2.1,PR-2.1: common components translated
18,frontend,app/frontend/src/components/TopBar.tsx,49,Toggle sessions,セッションパネル切替,approved,PR-2.1,PR-2.1: common components translated
19,frontend,app/frontend/src/components/TopBar.tsx,53,polyclaw,polyclaw,approved,PR-2.1,PR-2.1: common components translated
20,frontend,app/frontend/src/components/MockReasoningPanel.tsx,90,Reasoning Ticker Lab,推論ティッカー検証パネル,approved,PR-2.1,PR-2.1: common components translated
21,frontend,app/frontend/src/components/MockReasoningPanel.tsx,91,Stop,停止,approved,PR-2.1,PR-2.1: common components translated
22,frontend,app/frontend/src/components/MockReasoningPanel.tsx,96,Visual Mode,表示モード,approved,PR-2.1,PR-2.1: common components translated
23,frontend,app/frontend/src/components/MockReasoningPanel.tsx,114,Test Scenarios,テストシナリオ,approved,PR-2.1,PR-2.1: common components translated
24,frontend,app/frontend/src/components/Sidebar.tsx,33,Polyclaw,Polyclaw,approved,PR-2.1,PR-2.1: common components translated
25,frontend,app/frontend/src/components/Sidebar.tsx,34,Polyclaw,Polyclaw,approved,PR-2.1,PR-2.1: common components translated
26,frontend,app/frontend/src/components/Sidebar.tsx,55,Azure,Azure,approved,PR-2.1,PR-2.1: common components translated
27,frontend,app/frontend/src/components/Sidebar.tsx,56,Foundry,Foundry,approved,PR-2.1,PR-2.1: common components translated
28,frontend,app/frontend/src/components/Sidebar.tsx,57,Tunnel,トンネル,approved,PR-2.1,PR-2.1: common components translated
29,frontend,app/frontend/src/components/Breadcrumb.tsx,14,navigate(parentPath)}>{parentLabel},"デフォルト parentLabel=""設定"" として翻訳。実行時値は呼び出し元依存",approved,PR-2.1,PR-2.1: common components translated
30,frontend,app/frontend/src/api.ts,62,Unauthorized,認証エラー,approved,PR-2.11,PR-2.11: api.ts error message + final translation sweep
31,frontend,app/frontend/src/pages/ToolActivity.tsx,307,Tool Activity,,approved,PR-2.8,
32,frontend,app/frontend/src/pages/ToolActivity.tsx,316,Live,,approved,PR-2.8,
33,frontend,app/frontend/src/pages/ToolActivity.tsx,318,Export filtered data as CSV,,approved,PR-2.8,
34,frontend,app/frontend/src/pages/ToolActivity.tsx,494,Total Calls,,approved,PR-2.8,
35,frontend,app/frontend/src/pages/ToolActivity.tsx,503,Flagged,,approved,PR-2.8,
36,frontend,app/frontend/src/pages/ToolActivity.tsx,512,Denied,,approved,PR-2.8,
37,frontend,app/frontend/src/pages/ToolActivity.tsx,520,Sessions,,approved,PR-2.8,
38,frontend,app/frontend/src/pages/ToolActivity.tsx,528,Avg Duration,,approved,PR-2.8,
39,frontend,app/frontend/src/pages/ToolActivity.tsx,536,P95 Duration,,approved,PR-2.8,
40,frontend,app/frontend/src/pages/ToolActivity.tsx,542,Risk,,approved,PR-2.8,
41,frontend,app/frontend/src/pages/ToolActivity.tsx,614,Search tool name...,,approved,PR-2.8,
42,frontend,app/frontend/src/pages/ToolActivity.tsx,620,All Categories,,approved,PR-2.8,
43,frontend,app/frontend/src/pages/ToolActivity.tsx,622,Custom,,approved,PR-2.8,
44,frontend,app/frontend/src/pages/ToolActivity.tsx,624,Skill,,approved,PR-2.8,
45,frontend,app/frontend/src/pages/ToolActivity.tsx,627,All Statuses,,approved,PR-2.8,
46,frontend,app/frontend/src/pages/ToolActivity.tsx,628,Started,,approved,PR-2.8,
47,frontend,app/frontend/src/pages/ToolActivity.tsx,629,Completed,,approved,PR-2.8,
48,frontend,app/frontend/src/pages/ToolActivity.tsx,630,Denied,,approved,PR-2.8,
49,frontend,app/frontend/src/pages/ToolActivity.tsx,631,Error,,approved,PR-2.8,
50,frontend,app/frontend/src/pages/ToolActivity.tsx,634,All Time,,approved,PR-2.8,
51,frontend,app/frontend/src/pages/ToolActivity.tsx,635,Last Hour,,approved,PR-2.8,
52,frontend,app/frontend/src/pages/ToolActivity.tsx,636,Last 6 Hours,,approved,PR-2.8,
53,frontend,app/frontend/src/pages/ToolActivity.tsx,637,Last 24 Hours,,approved,PR-2.8,
54,frontend,app/frontend/src/pages/ToolActivity.tsx,638,Last 7 Days,,approved,PR-2.8,
55,frontend,app/frontend/src/pages/ToolActivity.tsx,639,Last 30 Days,,approved,PR-2.8,
56,frontend,app/frontend/src/pages/ToolActivity.tsx,642,All Models,,approved,PR-2.8,
57,frontend,app/frontend/src/pages/ToolActivity.tsx,648,All Interactions,,approved,PR-2.8,
58,frontend,app/frontend/src/pages/ToolActivity.tsx,649,Allow (auto),,approved,PR-2.8,
59,frontend,app/frontend/src/pages/ToolActivity.tsx,652,PITL (Experimental),,approved,PR-2.8,
60,frontend,app/frontend/src/pages/ToolActivity.tsx,653,Prompt Shields,,approved,PR-2.8,
61,frontend,app/frontend/src/pages/ToolActivity.tsx,654,Denied,,approved,PR-2.8,
62,frontend,app/frontend/src/pages/ToolActivity.tsx,661,Filter by session ID...,,approved,PR-2.8,
63,frontend,app/frontend/src/pages/ToolActivity.tsx,666,No Grouping,,approved,PR-2.8,
